Old ID,Old Description,New ID,Shall or Should,Removal Rationale
MS.AAD.3.2v1,All users SHALL be required to use multi-factor authentication (MFA) for all access to Microsoft 365 services.,MS.AAD.3.2v2,Shall,N/A
MS.AAD.3.5v1,All users SHALL be required to use multi-factor authentication (MFA) for all access to Microsoft 365 services.,MS.AAD.3.5v2,Shall,N/A
MS.EXO.2.2v2,An SPF policy SHALL be published for each domain that fails all non-approved senders.,MS.EXO.2.2v3,SHALL,Currently requires SPF policies to include a hard fail -all not a soft fail ~all. Relax that requirement to accept both hard and soft fails. Bumped to v3
MS.EXO.8.1v2,A DLP solution SHALL be used.,MS.SECURITYSUITE.3.1v1,Shall,N/A
MS.EXO.8.2v2,"The DLP solution SHALL protect personally identifiable information (PII) and sensitive information, as defined by the agency.",MS.SECURITYSUITE.3.1v1,Shall,N/A
MS.EXO.8.3v1,The selected DLP solution SHOULD offer services comparable to the native DLP solution offered by Microsoft.,None,Should,"Removed ""comparable to solution offered by Microsoft policies"""
MS.EXO.8.4v1,"At a minimum, the DLP solution SHALL restrict sharing credit card numbers, U.S. Individual Taxpayer Identification Numbers (ITIN), and U.S. Social Security numbers (SSN) via email.",MS.SECURITYSUITE.3.1v1,Shall,N/A
MS.EXO.9.1v2,Emails SHALL be filtered by attachment file types.,MS.SECURITYSUITE.1.1v1,Shall,N/A
MS.EXO.9.2v1,The attachment filter SHOULD attempt to determine the true file type and assess the file extension.,None,Should,Removed the policy because it could not be configured via Defender and assessed by ScubaGear.
MS.EXO.9.3v1,Disallowed file types SHALL be determined and enforced.,MS.SECURITYSUITE.1.1v1,Shall,N/A
MS.EXO.9.4v1,"If a third-party filtering solution is used, it SHOULD offer services comparable to Microsoft Defender's Common Attachment Filter.",None,Should,"Removed ""comparable to solution offered by Microsoft policies"""
MS.EXO.9.5v1,"At a minimum, click-to-run files SHOULD be blocked (e.g., .exe, .cmd, and .vbe).",MS.SECURITYSUITE.1.1v1,Should,N/A
MS.EXO.10.1v1,Emails SHALL be scanned for malware.,MS.SECURITYSUITE.1.3v1,Shall,N/A
MS.EXO.10.2v1,Emails identified as containing malware SHALL be quarantined or dropped.,MS.SECURITYSUITE.1.3v1,Shall,N/A
MS.EXO.10.3v1,Email scanning SHALL be capable of reviewing emails after delivery.,MS.SECURITYSUITE.1.2v1,Shall,N/A
MS.EXO.11.1v1,Impersonation protection checks SHOULD be used.,MS.SECURITYSUITE.2.1v1,Should,N/A
MS.EXO.11.2v1,"User warnings, comparable to the user safety tips included with EOP, SHOULD be displayed.",MS.SECURITYSUITE.2.4v1,Should,N/A
MS.EXO.11.3v1,The phishing protection solution SHOULD include an AI-based phishing detection tool comparable to EOP Mailbox Intelligence.,None,Should,"Removed ""comparable to solution offered by Microsoft policies"""
MS.EXO.12.1v1,IP allow lists SHOULD NOT be created.,MS.SECURITYSUITE.8.1v1,Should,N/A
MS.EXO.12.2v1,Safe lists SHOULD NOT be enabled.,MS.SECURITYSUITE.8.2v1,Should,N/A
MS.EXO.14.1v2,A spam filter SHALL be enabled.,MS.SECURITYSUITE.6.1v1,Shall,N/A
MS.EXO.14.2v1,Spam and high confidence spam SHALL be moved to either the junk email folder or the quarantine folder.,MS.SECURITYSUITE.6.1v1,Shall,N/A
MS.EXO.14.3v2,Allowed domains SHALL NOT be added to inbound anti-spam protection policies.,MS.SECURITYSUITE.6.2v1,Shall,N/A
MS.EXO.15.1v1,URL comparison with a block-list SHOULD be enabled.,MS.SECURITYSUITE.7.1v1,Should,N/A
MS.EXO.15.2v1,Direct download links SHOULD be scanned for malware.,MS.SECURITYSUITE.7.2v1,Should,N/A
MS.EXO.15.3v1,User click tracking SHOULD be enabled.,MS.SECURITYSUITE.7.3v1,Should,N/A
MS.EXO.16.1v1,"At a minimum, the following alerts SHALL be enabled:

a. Suspicious email sending patterns detected.

b. Suspicious Connector Activity.

c. Suspicious Email Forwarding Activity.

d. Messages have been delayed.

e. Tenant restricted from sending unprovisioned email.

f. Tenant restricted from sending email.

g. A potentially malicious URL click was detected.",MS.SECURITYSUITE.4.1v1,Shall,N/A
MS.EXO.16.2v1,The alerts SHOULD be sent to a monitored address or incorporated into a security information and event management (SIEM) system,MS.SECURITYSUITE.4.2v1,Should,N/A
MS.EXO.17.1v1,Unified Audit logging SHALL be enabled.,MS.SECURITYSUITE.5.1v1,Shall,N/A
MS.EXO.17.3v1,Audit logs SHALL be maintained for at least the minimum duration dictated by OMB M-21-31 (Appendix C).,MS.SECURITYSUITE.5.2v1,Shall,N/A
MS.TEAMS.6.1v1,A DLP solution SHALL be enabled and SHOULD offer services comparable to the native DLP solution offered by Microsoft.,MS.SECURITYSUITE.3.2v1,Shall,N/A
MS.TEAMS.6.2v1,"The DLP solution SHALL protect personally identifiable information (PII) and sensitive information, as defined by the agency. At a minimum, sharing credit card numbers, taxpayer identification numbers (TINs), and Social Security numbers (SSNs) via email SHALL be restricted.",MS.SECURITYSUITE.3.1v1,Shall,N/A
MS.TEAMS.7.1v1,Attachments included with Teams messages SHOULD be scanned for malware.,MS.SECURITYSUITE.1.4v1,Should,N/A
MS.TEAMS.7.2v1,Users SHOULD be prevented from opening or downloading files detected as malware.,MS.SECURITYSUITE.1.4v1,Should,N/A
MS.TEAMS.8.1v1,Attachments included with Teams messages SHOULD be scanned for malware.,MS.SECURITYSUITE.7.1v1,Should,N/A
MS.TEAMS.8.2v1,Users SHOULD be prevented from opening or downloading files detected as malware.,MS.SECURITYSUITE.7.3v1,Should,N/A
MS.DEFENDER.1.1v1,The standard and strict preset security policies SHALL be enabled.,MS.SECURITYSUITE.1.1v1 - MS.SECURITYSUITE.1.4v1,Shall,N/A
MS.DEFENDER.1.2v1,All users SHALL be added to Exchange Online Protection (EOP) in either the standard or strict preset security policy.,MS.SECURITYSUITE.1.1v1 - MS.SECURITYSUITE.1.4v2,Shall,N/A
MS.DEFENDER.1.3v1,All users SHALL be added to Defender for Office 365 protection in either the standard or strict preset security policy.,MS.SECURITYSUITE.1.1v1 - MS.SECURITYSUITE.1.4v3,Shall,N/A
MS.DEFENDER.1.4v1,Sensitive accounts SHALL be added to Exchange Online Protection in the strict preset security policy.,MS.SECURITYSUITE.1.1v1 - MS.SECURITYSUITE.1.4v4,Shall,N/A
MS.DEFENDER.1.5v1,Sensitive accounts SHALL be added to Defender for Office 365 protection in the strict preset security policy.,MS.SECURITYSUITE.1.1v1 - MS.SECURITYSUITE.1.4v5,Shall,N/A
MS.DEFENDER.2.1v1,User impersonation protection SHOULD be enabled for sensitive accounts in both the standard and strict preset policies.,MS.SECURITYSUITE.2.1v1,Should,N/A
MS.DEFENDER.2.2v1,Domain impersonation protection SHOULD be enabled for domains owned by the agency in both the standard and strict preset policies.,MS.SECURITYSUITE.2.2v1,Should,N/A
MS.DEFENDER.2.3v1,Domain impersonation protection SHOULD be added for important partners in both the standard and strict preset policies.,MS.SECURITYSUITE.2.3v1,Should,N/A
MS.DEFENDER.3.1v1,"Safe attachments SHOULD be enabled for SharePoint, OneDrive, and Microsoft Teams.",MS.SECURITYSUITE.1.4v1,Should,N/A
MS.DEFENDER.4.1v2,"A custom policy SHALL be configured to protect PII and sensitive information, as defined by the agency, blocking at a minimum: credit card numbers, U.S. Individual Taxpayer Identification Numbers (ITIN), and U.S. Social Security numbers (SSN).",MS.SECURITYSUITE.3.1v1,Shall,N/A
MS.DEFENDER.4.2v1,"The custom policy SHOULD be applied to Exchange, OneDrive, SharePoint, Teams chat, and Devices.",MS.SECURITYSUITE.3.2v1,Should,N/A
MS.DEFENDER.4.3v1,The action for the custom policy SHOULD be set to block sharing sensitive information with everyone.,MS.SECURITYSUITE.3.3v1,Should,N/A
MS.DEFENDER.4.4v1,Notifications to inform users and help educate them on the proper use of sensitive information SHOULD be enabled in the custom policy.,MS.SECURITYSUITE.3.4v1,Should,N/A
MS.DEFENDER.4.5v1,A list of apps that are restricted from accessing files protected by DLP policy SHOULD be defined.,None,Should,"Removed the policy because it could not be automatically evaluated by the ScubaGear tool. It defined a best practice requiring agencies to create a list of applications restricted from accessing files protected by the DLP policy."
MS.DEFENDER.4.6v1,The custom policy SHOULD include an action to block access to sensitive information by restricted apps and unwanted Bluetooth applications.,MS.SECURITYSUITE.3.5v1,Should,N/A
MS.DEFENDER.5.1v1,"At a minimum, the alerts required by the CISA M365 Secure Configuration Baseline for Exchange Online SHALL be enabled.",MS.SECURITYSUITE.4.1v1,Shall,N/A
MS.DEFENDER.5.2v1,The alerts SHOULD be sent to a monitored address or incorporated into a Security Information and Event Management (SIEM).,MS.SECURITYSUITE.4.2v1,Should,N/A
MS.DEFENDER.6.1v1,Unified Audit logging SHALL be enabled.,MS.SECURITYSUITE.5.1v1,Shall,N/A
MS.DEFENDER.6.3v1,Audit logs SHALL be maintained for at least the minimum duration dictated by OMB M-21-31.,MS.SECURITYSUITE.5.2v1,Shall,N/A
